scan_point,dihedral,close_range,mid_range,far_range,total,rmsd_atoms,rmsd_charges,path,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
angle_6,6,1.150726132,0.42222892,0.2012049519,0.7470997963,0.0,0.0,/home/boittier/FDCM/angle_bi/angle_6,0.1327380097750821,0.233828815833123,0.3368020971987875,-0.3031296367908747,0.3285572375976507,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.260983880696505,-0.1410096707989643,-0.0748222581586712,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_5,5,1.477248457,0.6204627314,0.3363898259,0.9858541138,0.0,5.960464477539063e-08,/home/boittier/FDCM/angle_bi/angle_5,0.1327380097750821,0.233828815833123,0.3368020971987875,-0.3031296367908747,0.3285572375976506,0.0332657127720715,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.2609838806965049,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_4,4,1.897189531,0.8770811911,0.4982802251,1.295565295,2.1073424255447017e-08,4.2146848510894035e-08,/home/boittier/FDCM/angle_bi/angle_4,0.1327380097750821,0.233828815833123,0.3368020971987875,-0.3031296367908748,0.3285572375976506,0.0332657127720715,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.2609838806965049,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_3,3,2.35550638,1.153130917,0.6671924274,1.632990332,0.0,0.0,/home/boittier/FDCM/angle_bi/angle_3,0.1327380097750821,0.233828815833123,0.3368020971987873,-0.3031296367908749,0.3285572375976506,0.0332657127720715,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131777,0.2609838806965049,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_2,2,2.820834896,1.430750465,0.8346125051,1.974722182,0.0,0.0,/home/boittier/FDCM/angle_bi/angle_2,0.1327380097750821,0.233828815833123,0.3368020971987873,-0.3031296367908748,0.3285572375976505,0.0332657127720715,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.2609838806965047,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_1,1,3.279286383,1.699779678,0.9953253048,2.30934823,0.0,0.0,/home/boittier/FDCM/angle_bi/angle_1,0.1327380097750821,0.233828815833123,0.3368020971987873,-0.3031296367908748,0.3285572375976505,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.2609838806965049,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_7,7,1.007961201,0.3659693515,0.1557579602,0.6521815615,0.0,4.2146848510894035e-08,/home/boittier/FDCM/angle_bi/angle_7,0.1327380097750821,0.233828815833123,0.3368020971987876,-0.3031296367908748,0.3285572375976506,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.260983880696505,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_8,8,1.097696607,0.4748053279,0.2308133289,0.7348358612,0.0,0.0,/home/boittier/FDCM/angle_bi/angle_8,0.1327380097750821,0.233828815833123,0.3368020971987876,-0.303129636790875,0.3285572375976507,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131779,0.2609838806965051,-0.1410096707989644,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_9,9,1.352084391,0.6493731048,0.337628257,0.9282736218,2.1073424255447017e-08,5.960464477539063e-08,/home/boittier/FDCM/angle_bi/angle_9,0.1327380097750821,0.233828815833123,0.3368020971987877,-0.303129636790875,0.3285572375976505,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131778,0.2609838806965051,-0.1410096707989643,-0.0748222581586712,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_10,10,1.676411909,0.8312457327,0.4388168524,1.160303762,2.1073424255447017e-08,0.0,/home/boittier/FDCM/angle_bi/angle_10,0.1327380097750821,0.233828815833123,0.3368020971987877,-0.3031296367908751,0.3285572375976507,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-1.00434866775e-05,-1.17616668103e-05,0.0953789939131779,0.2609838806965052,-0.1410096707989642,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
